time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
0,-0.180409598218,-0.167904830171,0.460158806426,0.929029957648,0.00116230553282,0,1.57955229616e-32,4.33333333333,2.4,0.02,260823,2.58564125874e-16,0.00204345031803,2.96576656381,3.6462676107e-35
0.1,-0.0982754203633,-0.0862323681779,0.460158908926,,,1.36426280522e-06,2.69181074824e-10,,,,,1.85297475238e-17,0.0020429427232,2.96595432405,6.80895767942e-12
0.2,-0.0847986694652,-0.0723777947932,0.460158948769,,,3.4257539997e-06,5.78820908204e-09,,,,,1.89148318497e-17,0.00204591758623,2.96617160801,1.46794145889e-10
0.3,-0.0936714636804,-0.0798766815517,0.460158977828,,,6.42119341639e-06,4.02770209179e-08,,,,,1.8585328489e-17,0.00205810119591,2.9664048693,1.0219538768e-09
0.4,-0.121772250878,-0.105293811095,0.460159062914,,,1.0669178148e-05,1.7949427045e-07,,,,,1.86100823504e-17,0.00208702388569,2.96663701877,4.54728399423e-09
0.5,-0.178670442369,-0.157479018378,0.460159278376,,,1.65658679027e-05,6.3363328072e-07,,,,,1.8449792873e-17,0.00214176647097,2.96685470994,1.59914307535e-08
0.6,-0.284338669407,-0.255634718257,0.460159695836,,,2.45455723147e-05,1.94561840871e-06,,,,,1.85294780559e-17,0.00223208670925,2.9670499347,4.8783637906e-08
0.7,-0.457862140894,-0.419877075719,0.460160371507,,,3.49843523931e-05,5.45402830576e-06,,,,,1.8532119616e-17,0.00236681890927,2.96721909002,1.35409161896e-07
0.8,-0.666254419063,-0.622097515603,0.460161332301,,,4.80220847589e-05,1.43387423483e-05,,,,,1.81866050024e-17,0.00255178838855,2.9673622165,3.51041405478e-07
0.9,-0.801957843222,-0.755753588003,0.460162563418,,,6.32887592195e-05,3.58972928522e-05,,,,,1.8607221993e-17,0.00278778163668,2.9674840187,8.62131431843e-07
1,-0.827385557002,-0.776347382735,0.460164001865,,,7.9558629715e-05,8.62963055464e-05,,,,,1.84365029984e-17,0.00308047707092,2.96759756339,2.01967193933e-06
1.1,-0.808843055898,-0.747059311634,0.460165541386,,,9.4437360033e-05,0.000200007235022,,,,,1.86350245075e-17,0.00343245279507,2.96773119756,4.52178785822e-06
1.2,-0.798281569797,-0.720901939532,0.460167052822,,,0.000104312424114,0.000447363494258,,,,,1.86072556704e-17,0.00379274360154,2.96793827304,9.65624492999e-06
1.24,-0.799765788286,-0.715543309691,0.460167621813,,,0.00010589921251,0.000611019293867,,,,,1.84934080221e-17,0.00393249290823,2.96805996993,1.28932586823e-05
1.3,-0.807403515226,-0.713333987056,0.46016841795,,,0.000104913210207,0.000963887750193,,,,,1.86878953266e-17,0.00413050134827,2.96830576217,1.95563568415e-05
1.4,-0.828862551361,-0.722402460946,0.460169564438,,,9.27956763987e-05,0.00198715119336,,,,,1.89786507817e-17,0.00440931469225,2.96894888355,3.71720460091e-05
1.5,-0.851842258734,-0.740776601589,0.460170479436,,,6.77046807098e-05,0.00384842302449,,,,,1.88001137991e-17,0.00459053383003,2.96996320649,6.51659694029e-05
1.6,-0.868682648252,-0.760712358708,0.460171180855,,,3.50532729403e-05,0.00667896180194,,,,,1.93928073374e-17,0.00463788743415,2.97129847755,0.000102451192365
1.7,-0.874349450622,-0.775660474608,0.460171649601,,,7.9295576985e-06,0.00940188207229,,,,,1.9145338592e-17,0.00452190758893,2.97258885535,0.000138543882447
1.8,-0.862889667528,-0.779750617925,0.460171768366,,,1.67238135163e-05,0.00945761750472,,,,,1.96846237202e-17,0.0042218099383,2.97320692385,0.000153003528628
1.9,-0.829857272732,-0.770212499202,0.460171341107,,,6.57951106352e-05,0.00657928400938,,,,,2.10396467802e-17,0.00372219556856,2.97284185922,0.00013179799002
2,-0.793870865208,-0.755661658134,0.46017024104,,,0.000193078237914,0.00344414302028,,,,,2.44245566202e-17,0.0029998866816,2.97198540989,8.69356304335e-05
2.1,-0.784853251262,-0.748422934337,0.460168649732,,,0.000437765227437,0.00149493945673,,,,,3.30964468068e-17,0.00226725987782,2.97137397843,4.54169435884e-05
2.2,-0.789888968333,-0.746273780249,0.46016725975,,,0.000878843398761,0.000614839374413,,,,,6.12676746208e-17,0.00290775941366,2.97119338697,2.2699887857e-05
2.3,-0.790268213619,-0.741832825835,0.460167288594,,,0.0017879614553,0.000314022945038,,,,,1.29759819034e-16,0.00353893585922,2.97109861918,1.66615937966e-05
2.4,-0.787101868567,-0.735377103457,0.460170213297,,,0.00481318819327,0.00022281991333,,,,,2.14180190804e-16,0.00415726666599,2.97068778614,1.82449334882e-05
2.5,-0.784066981593,-0.731065369003,0.460177245367,,,0.00364699771957,0.000204627367496,,,,,1.36725735553e-16,0.00473125809135,2.96986361684,2.21754736979e-05
2.6,-0.773920406451,-0.726552515836,0.460188677858,,,0.00126271906912,0.000358799567886,,,,,5.37611784935e-17,0.00521656580398,2.96897525838,3.22496508216e-05
2.7,-0.747604408797,-0.714547377065,0.460203333674,,,0.000511159293828,0.00101845526026,,,,,3.31555822312e-17,0.00565669577187,2.96891143335,6.33245625151e-05
2.8,-0.714399075758,-0.696454140381,0.460218418087,,,0.000195971707668,0.00291205932795,,,,,2.79019061011e-17,0.00603781210138,2.97143296266,0.000143549925598
2.9,-0.702209178609,-0.688987273481,0.460230067075,,,8.22884686467e-05,0.00743657809272,,,,,2.54377068086e-17,0.00642697332295,2.97904322599,0.000297821046267
3,-0.730058499989,-0.710456880896,0.460234662095,,,0.000100770749701,0.00979354098315,,,,,2.6011041821e-17,0.00737293699745,2.9880070235,0.000420934141682
