time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
0,-0.180127509498,-0.167904830171,0.460231955128,1,0.00116230553282,0,1.18509151512e-32,2.33333333333,2.33333333333,0.02,260823,2.96132555537e-16,0.00217428855767,2.96576656381,7.81953776651e-35
0.1,-0.09817259609,-0.0862412582526,0.460232076044,,,1.40702468847e-06,3.27127867171e-10,,,,,1.67109331242e-17,0.00217401052054,2.96595434401,9.14039633302e-12
0.2,-0.0845161250566,-0.0724150524915,0.460232144826,,,3.53952707622e-06,7.05549997706e-09,,,,,1.66584774974e-17,0.00217720150373,2.96617168623,1.9706115737e-10
0.3,-0.0927010087785,-0.0799722250473,0.460232217842,,,6.64955061465e-06,4.92404259729e-08,,,,,1.71658883993e-17,0.00218919750875,2.96640504457,1.37193856883e-09
0.4,-0.119412894254,-0.105493913565,0.460232367282,,,1.10754157485e-05,2.20051734924e-07,,,,,1.6851914294e-17,0.0022171066176,2.96663733668,6.10474906266e-09
0.5,-0.173773692298,-0.157845698041,0.460232673348,,,1.72364327522e-05,7.78819797966e-07,,,,,1.69399891226e-17,0.00226967303299,2.96685522511,2.1469104905e-08
0.6,-0.275223616653,-0.256211330176,0.460233213126,,,2.55908275733e-05,2.39719056914e-06,,,,,1.7232370699e-17,0.00235658400208,2.96705069851,6.54946221495e-08
0.7,-0.443328791092,-0.420485086751,0.460234046482,,,3.65333817661e-05,6.73518508492e-06,,,,,1.63126118398e-17,0.00250242380958,2.96722010738,1.81790278464e-07
0.8,-0.647555380195,-0.6215024392,0.460235200334,,,5.02058293796e-05,1.77461018456e-05,,,,,1.66583157396e-17,0.00270411621751,2.9673633442,4.71243457396e-07
0.9,-0.778754081654,-0.750490906051,0.460236654431,,,6.620374026e-05,4.4527176774e-05,,,,,1.63111797554e-17,0.00296182999717,2.96748476388,1.15711215843e-06
1,-0.792676645268,-0.761919856343,0.460238333942,,,8.320451999e-05,0.0001072957362,,,,,1.62565492379e-17,0.00326963605202,2.9675967339,2.70962088831e-06
1.1,-0.753726592564,-0.719018340217,0.46024011546,,,9.86304556769e-05,0.000249319592344,,,,,1.71268766303e-17,0.00361446227183,2.96772638675,6.0618180687e-06
1.2,-0.714725936983,-0.67362049326,0.460241851117,,,0.000108599535751,0.000559233820727,,,,,1.68047749701e-17,0.00400044913961,2.96792527465,1.2926343555e-05
1.3,-0.690137210174,-0.640214127004,0.460243408204,,,0.000108547999028,0.00120834493013,,,,,1.62199964394e-17,0.00436345915018,2.96827819519,2.61098349622e-05
