time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
0,-0.18040982038,-0.167904830171,0.460158806426,0.929029957648,0.00116230553282,0,1.10134033539e-32,3.33333333333,2.4,0.02,260823,1.35680843748e-16,0.00203785965843,2.96576656381,4.06515815837e-35
0.1,-0.098277557884,-0.0862328427531,0.460158908926,,,1.35920096333e-06,2.68639140316e-10,,,,,1.78276957872e-17,0.00203779701909,2.96595432402,6.808957703e-12
0.2,-0.0848063603864,-0.0723797509694,0.460158948769,,,3.41381595883e-06,5.77689784809e-09,,,,,1.76172075991e-17,0.00204132097194,2.96617160767,1.4679414855e-10
0.3,-0.093688715826,-0.0798815389638,0.460158977828,,,6.40044665879e-06,4.02017362939e-08,,,,,1.77590235552e-17,0.00205387014865,2.96640486771,1.02195392379e-09
0.4,-0.121804121603,-0.105303909261,0.460159062914,,,1.06373015918e-05,1.79176683263e-07,,,,,1.79864861516e-17,0.0020825933777,2.96663701395,4.54728437987e-09
0.5,-0.178719492348,-0.157498257963,0.460159278376,,,1.65199378259e-05,6.32578848773e-07,,,,,1.77546649627e-17,0.00213612604317,2.96685469797,1.59914327517e-08
0.6,-0.284386742225,-0.255668941356,0.460159695836,,,2.44821276965e-05,1.94258491338e-06,,,,,1.77907522944e-17,0.0022237920455,2.96704990747,4.87836450431e-08
0.7,-0.45782535643,-0.419930739038,0.460160371507,,,3.48999724835e-05,5.44608846375e-06,,,,,1.82594003574e-17,0.00235411814063,2.96721903003,1.35409177508e-07
0.8,-0.665982447267,-0.622157402368,0.460161332301,,,4.79146666409e-05,1.4319364577e-05,,,,,1.81499107097e-17,0.00254038992896,2.96736208651,3.51041399071e-07
0.9,-0.801284084899,-0.755776360094,0.460162563418,,,6.31595177322e-05,3.5852754038e-05,,,,,1.72494027517e-17,0.00278367011816,2.9674837437,8.62131151902e-07
1,-0.825849539199,-0.776293749173,0.460164001865,,,7.94144090917e-05,8.61999312492e-05,,,,,1.76430849049e-17,0.00307250668818,2.96759700307,2.01967012408e-06
1.1,-0.805656550816,-0.746904827723,0.460165541388,,,9.42920068009e-05,0.000199812748233,,,,,1.77301864698e-17,0.00339326233026,2.9677301125,4.52177943032e-06
1.2,-0.792836593397,-0.720610679499,0.460167052826,,,0.000104184970401,0.000447004971547,,,,,1.75817547595e-17,0.00372452275356,2.96793630163,9.65621235741e-06
1.3,-0.799751274629,-0.712855025782,0.460168417959,,,0.000104820683472,0.000963309084204,,,,,1.78756893224e-17,0.00404728951301,2.96830245139,1.95562473399e-05
1.4,-0.819740516162,-0.721698380973,0.460169564455,,,9.27416157958e-05,0.00198641505189,,,,,1.81420026747e-17,0.00431678843419,2.96894383874,3.71717229915e-05
1.5,-0.842203208281,-0.739874010938,0.460170479465,,,6.76715346147e-05,0.00384796164668,,,,,1.80015652522e-17,0.00449385992318,2.96995638198,6.51651449507e-05
1.6,-0.859280062473,-0.759749966619,0.460171180898,,,3.5012996416e-05,0.00667986104052,,,,,1.79300429444e-17,0.00453778582457,2.97129042659,0.000102449443143
1.7,-0.865725007262,-0.774894466837,0.460171649653,,,7.83660189174e-06,0.00940534913157,,,,,1.79769160405e-17,0.00441668364218,2.97258044825,0.000138541038477
1.8,-0.855638301447,-0.77942946262,0.460171768421,,,1.62797043218e-05,0.00946287682931,,,,,1.79433909571e-17,0.0041054120735,2.97319816304,0.000153000501111
1.9,-0.824984863739,-0.770232869228,0.460171341153,,,6.50467182049e-05,0.00658364721412,,,,,1.85749330531e-17,0.00359743295532,2.97283052768,0.000131796586431
2,-0.791915525503,-0.755492128435,0.460170241057,,,0.000192084663022,0.00344626800789,,,,,1.97747183611e-17,0.00287317775327,2.97196692881,8.69362256802e-05
2.1,-0.784005889187,-0.747866913266,0.460168649702,,,0.000436326847696,0.0014953372114,,,,,2.30638015413e-17,0.00227905896304,2.97134237556,4.5417863138e-05
2.2,-0.78868504402,-0.745721235336,0.460167259693,,,0.000876437579651,0.00061450539063,,,,,3.5415339239e-17,0.00288352836139,2.97114252102,2.27000811791e-05
2.3,-0.788192878018,-0.741630492345,0.460167288652,,,0.00178314490848,0.000313631651465,,,,,7.02083053821e-17,0.00352155188211,2.97102353261,1.66616149848e-05
2.4,-0.783836042015,-0.735484677431,0.460170213796,,,0.00479978899649,0.000222568247686,,,,,1.15489809783e-16,0.00416742782733,2.97058557183,1.82450111396e-05
2.5,-0.780318071946,-0.731254489615,0.460177246775,,,0.00363554149459,0.000204221368866,,,,,7.34605387694e-17,0.00474393504359,2.96973214123,2.21740733409e-05
2.6,-0.770892269631,-0.726606639373,0.460188680608,,,0.00125838767981,0.000357125780839,,,,,3.25005426479e-17,0.00521544068993,2.96880779985,3.22443429376e-05
2.7,-0.745755432221,-0.714304654984,0.460203337856,,,0.000509340841841,0.00101273723973,,,,,2.34436501077e-17,0.0056482872071,2.96868583622,6.33156180334e-05
2.8,-0.713345366931,-0.695978260926,0.46021842298,,,0.000195148205816,0.00289658357589,,,,,2.15624874905e-17,0.00602882688085,2.97109892439,0.000143550889037
2.9,-0.701738655784,-0.688592360834,0.460230070798,,,8.13550309564e-05,0.00740397126359,,,,,2.03355325566e-17,0.00643143193212,2.97855051625,0.00029787351862
3,-0.73053440899,-0.710350583983,0.460234662012,,,9.76901749258e-05,0.00976285426181,,,,,2.04184953326e-17,0.00759519575266,2.9874795139,0.000421028883631
3.1,-0.783291620402,-0.752319772833,0.460230500483,,,0.000251474342784,0.00402607898435,,,,,2.10937923385e-17,0.00870235278003,2.98674569435,0.000355980236436
3.2,-0.766361816216,-0.741646725684,0.460218976368,,,0.000454583518059,0.00133983340949,,,,,2.35366296619e-17,0.00964677586351,2.98126477747,0.000248560393651
3.3,-0.598046323439,-0.602034142823,0.460204378356,,,0.000707057762749,0.000525941308218,,,,,2.92055792921e-17,0.0104578437332,2.97722392635,0.000188219225841
3.4,-0.366224199044,-0.397178217686,0.460192254633,,,0.00112816534684,0.000285752938138,,,,,4.06534981941e-17,0.0111752546312,2.97551106515,0.000169443424815
3.5,-0.168220594105,-0.221979136695,0.460187132092,,,0.00150306671641,0.000281682285117,,,,,4.72565608574e-17,0.0118336331336,2.97652429318,0.000184381410665
3.6,-0.0288984483668,-0.101787291919,0.460190751811,,,0.00093197458947,0.000465787979329,,,,,3.23149939813e-17,0.0124509799718,2.98184986741,0.000237873902445
3.7,0.0556751626342,-0.0295875915468,0.460201603903,,,0.000611307757194,0.000884471757665,,,,,2.51342182375e-17,0.0130252621791,2.99535275609,0.000348159303783
3.8,0.0940087016693,0.00441646220112,0.460215850264,,,0.000448271894521,0.00161700508395,,,,,2.25845880069e-17,0.0135379673705,3.02402769036,0.000541737822129
3.9,0.0893943949665,0.00323304681493,0.46022910841,,,0.000322713882365,0.00265037373395,,,,,2.06610747711e-17,0.0139620854346,3.07218922084,0.000808590255644
4,0.0331719636503,-0.0431453520525,0.460238211128,,,0.000240419979297,0.00339956758988,,,,,2.01527789267e-17,0.014272869663,3.12167956537,0.00101785739733
4.1,-0.0806446113833,-0.160856768936,0.46024210462,,,0.000257029886954,0.00326782179993,,,,,1.98380771584e-17,0.0144579704824,3.14417690773,0.0010486193221
4.2,0.0095215073341,-0.221412948019,0.460241590302,,,0.000354683720363,0.00302552868549,,,,,1.89485644534e-17,0.0145193082819,3.14556592453,0.000974011274413
4.3,0.412589824229,0.192092199028,0.46023833864,,,0.000494943297151,0.00338341712734,,,,,1.9264132208e-17,0.014461443205,3.14591368644,0.00089346769295
4.4,0.477366147371,0.340117337958,0.460233914522,,,0.000639351263686,0.00471298322172,,,,,1.87126326667e-17,0.0142748573742,3.15654787264,0.000846483438447
4.5,0.438512725329,0.335019451694,0.460229286724,,,0.000730507492592,0.00731985139054,,,,,1.86881748397e-17,0.013931573544,3.18101350603,0.000845943020383
4.6,0.386916477327,0.303195948754,0.460224855205,,,0.000734951699786,0.0113919179969,,,,,1.8613005157e-17,0.0133984399857,3.21712985483,0.000897235780222
4.7,0.337847845306,0.266108433008,0.460220756555,,,0.000662890562671,0.0168155264409,,,,,1.83824647683e-17,0.0134771956748,3.25811117923,0.000999024531844
4.8,0.29683532946,0.229688745955,0.460217126746,,,0.000551942925107,0.0227725452745,,,,,1.82541236949e-17,0.0136045961505,3.29523194811,0.00113618890619
4.9,0.270544088766,0.199962200471,0.460214115579,,,0.000450000752507,0.0272837315745,,,,,1.86300889179e-17,0.0144254780868,3.3208770531,0.00126987344089
