time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
1.2,-0.758002031271,-0.727163432145,0.460167019319,,,9.95820690702e-05,0.000456556580571,,,,,1.69670663658e-17,0.00387594618663,2.94704170733,1.17265201356e-05
1.3,-0.73568467651,-0.698845431546,0.460168388354,,,0.000100960563402,0.000986784813805,,,,,1.69445338587e-17,0.00420985920894,2.9473361664,2.38048261924e-05
1.4,-0.722400490592,-0.677579408775,0.460169542292,,,9.02000484372e-05,0.0020425746969,,,,,1.69530250858e-17,0.00448694303158,2.94787074629,4.53842722147e-05
1.5,-0.716213578928,-0.663858941772,0.460170466815,,,6.65815498518e-05,0.00397623059321,,,,,1.70610214993e-17,0.00466372283724,2.94875336258,7.98697847668e-05
1.6,-0.715667559082,-0.659127826706,0.460171177801,,,3.47972739668e-05,0.00694917164041,,,,,1.70905179008e-17,0.00469546219189,2.94997907648,0.000126174415504
1.7,-0.721309939537,-0.666652616219,0.460171654652,,,7.72494223901e-06,0.00988544822846,,,,,1.74841678024e-17,0.00454041737871,2.95125597209,0.000171629111702
1.8,-0.735969291662,-0.690858464819,0.460171779846,,,1.14541307865e-05,0.0100968332059,,,,,1.86483108205e-17,0.00416054622577,2.95199355939,0.000190846702784
1.9,-0.761227899039,-0.730068965556,0.460171357467,,,4.85649428262e-05,0.0071504699599,,,,,1.98022267844e-17,0.00351203925966,2.95179040893,0.000165588548849
2,-0.78668588813,-0.764610629559,0.460170257844,,,0.000162533763668,0.00381083540774,,,,,2.44581665141e-17,0.00270092817972,2.95097030863,0.000109726557183
2.1,-0.798182813975,-0.777030419607,0.460168652068,,,0.000387252878242,0.00168312527379,,,,,3.51324692978e-17,0.00221260950709,2.950197569,5.67326215396e-05
2.2,-0.799898868299,-0.776310215125,0.460167212368,,,0.000793478434493,0.000701089956142,,,,,6.67318313261e-17,0.0028768811528,2.9497216477,2.67302386218e-05
2.3,-0.79761338067,-0.772682944666,0.460167130207,,,0.00161912154229,0.000357161871832,,,,,1.60405865076e-16,0.00362428702937,2.94929470164,1.79253162062e-05
2.4,-0.792463140008,-0.768092872032,0.460169863417,,,0.00424951441118,0.000249036872948,,,,,2.52259770454e-16,0.00428832803358,2.94856226641,1.89842213271e-05
2.5,-0.786833686062,-0.763991572315,0.460176629702,,,0.00362501356161,0.000213693034143,,,,,2.04895032739e-16,0.00492003652126,2.94739777697,2.20082088057e-05
2.6,-0.778016746628,-0.758166306171,0.460187770681,,,0.00125493538615,0.000333019208104,,,,,7.53215716953e-17,0.00548222850661,2.94603167255,2.8695715454e-05
2.7,-0.757194825755,-0.742938668744,0.460202202637,,,0.000514972733298,0.00092288901037,,,,,4.31158149247e-17,0.0059742778662,2.94511262694,5.13542480462e-05
2.8,-0.727870799423,-0.719500034089,0.460217243187,,,0.00019783377695,0.00267744850783,,,,,3.05920093914e-17,0.00645381887467,2.94603744568,0.000112522033832
2.9,-0.714439489386,-0.707084897085,0.460229103879,,,7.89005415365e-05,0.00702765673345,,,,,2.81224246188e-17,0.00693730973249,2.95147860762,0.000230604777669
3,-0.737850446906,-0.72496608334,0.460234144216,,,7.88255252561e-05,0.0101846571831,,,,,2.68929968497e-17,0.0074025605801,2.9607343891,0.000324100333348
3.1,-0.785875753156,-0.76485321775,0.460230526355,,,0.000188529457981,0.00455691232739,,,,,2.97583968667e-17,0.00809445446191,2.96324548904,0.000266976612031
3.2,-0.794627879669,-0.772765307751,0.46021942231,,,0.00033922071965,0.00156450431798,,,,,3.63603574723e-17,0.00886187930171,2.95972107949,0.000177265367257
3.3,-0.698171487332,-0.688179379095,0.460204916227,,,0.000530756544732,0.000622820988692,,,,,4.80456689185e-17,0.00952637056705,2.95603636775,0.000128655869916
3.4,-0.525707007737,-0.530857368964,0.460192448855,,,0.000875110470357,0.000333904419696,,,,,7.66604155107e-17,0.0101236738703,2.95361526581,0.000114794670545
3.5,-0.348606210606,-0.366894011099,0.46018657506,,,0.00135031157017,0.000311842920461,,,,,1.01169061678e-16,0.0106744152093,2.95282094336,0.000128482909548
3.6,-0.205507848181,-0.235103719654,0.460189187794,,,0.000893991785348,0.000487054245952,,,,,6.42319764078e-17,0.0111810767485,2.95466483539,0.000172701031134
3.7,-0.107131710322,-0.145132306532,0.460199003755,,,0.000594527961322,0.000892312753741,,,,,4.36920520525e-17,0.011630968917,2.96174361533,0.000258519782918
3.8,-0.0523619696254,-0.0946933092952,0.460212408541,,,0.000442051885967,0.00160206908655,,,,,3.72635784383e-17,0.0120001632262,2.97928265399,0.000399333618629
3.9,-0.0395511896042,-0.0818283128169,0.46022515068,,,0.000315887154513,0.00266278065299,,,,,3.36166128913e-17,0.0122590746557,3.01295743898,0.000583762488687
4,-0.0771806486291,-0.114745528553,0.460234042966,,,0.000212213965552,0.00363088260098,,,,,3.06676278635e-17,0.0125214451676,3.05454342119,0.000722822414894
4.1,-0.189755857839,-0.219092472112,0.460237882049,,,0.000189742637435,0.00359536534227,,,,,2.83752281118e-17,0.0126831580761,3.07958010484,0.000728301475131
4.2,-0.286006709509,-0.338546157049,0.460237279842,,,0.000244977829495,0.00306473836424,,,,,2.65638097108e-17,0.0127644606686,3.08479644428,0.000654931675648
4.3,0.103436585892,1.62104714823e-05,0.460233763376,,,0.000330349151061,0.00278038507742,,,,,2.54659488945e-17,0.0129125680947,3.08373878023,0.000578780319866
4.4,0.33522043952,0.261063064316,0.460228841396,,,0.000435257526755,0.0030302723988,,,,,2.41024760747e-17,0.0129095437258,3.08437738015,0.000526209718467
4.5,0.367106998395,0.308467117438,0.46022352416,,,0.000526162338751,0.00409021382246,,,,,2.28023638717e-17,0.012690648999,3.08926685251,0.00050539634363
4.6,0.359290090842,0.30846768121,0.460218323663,,,0.000564115815904,0.00626108624386,,,,,2.06893914594e-17,0.0123517409702,3.09919572886,0.00052129989783
4.7,0.346865971921,0.300872522994,0.460213480284,,,0.000542359215392,0.00965007157842,,,,,1.91476225786e-17,0.0121132199221,3.11397588617,0.000572172083871
4.8,0.339318106575,0.296163283571,0.460209161868,,,0.000477932976936,0.0137684989824,,,,,1.95543829495e-17,0.0119715940932,3.13161885407,0.000642638098408
4.9,0.342118869894,0.299833658365,0.460205520148,,,0.000391451833675,0.0172811621136,,,,,1.95650683574e-17,0.0124120934376,3.1477137569,0.000704570260136
5,0.3605572764,0.317124370641,0.460202633236,,,0.000310563037453,0.0186377898738,,,,,2.05969605349e-17,0.0129017241996,3.15671032865,0.000731196013927
5.1,0.398984070769,0.35326052153,0.460200444833,,,0.000291352006758,0.017441056215,,,,,2.13894090262e-17,0.0135291103945,3.15492490966,0.000714562897384
5.2,0.452015417537,0.406356936573,0.460198796072,,,0.000372323048066,0.0147882894301,,,,,2.38430000578e-17,0.0140221934943,3.14264542391,0.00066934655172
5.3,0.484461005757,0.445749908357,0.46019755241,,,0.000507077150209,0.0121113543248,,,,,2.59918839895e-17,0.0143572364839,3.12341505479,0.000621018566409
5.4,0.447248781618,0.417726558651,0.460196737472,,,0.000640117862085,0.010247311904,,,,,2.83382900268e-17,0.0145293845481,3.10174077082,0.000590913463892
5.5,0.353573480168,0.329274701954,0.460196576068,,,0.000736369952119,0.00947314070859,,,,,3.07572862186e-17,0.0145609194852,3.08148150693,0.000587697500351
5.6,0.255339957459,0.235608446573,0.460197418352,,,0.000777672409188,0.00988172599444,,,,,2.94698133811e-17,0.0145027407474,3.0655008281,0.00060731680763
5.7,0.175755314401,0.161538708923,0.460199595944,,,0.000763860710865,0.0116404050852,,,,,2.81208591963e-17,0.0144663809559,3.05585445216,0.000640348021753
5.8,0.114571990729,0.106131400881,0.460203285251,,,0.000709155375889,0.0150836742413,,,,,2.52545726315e-17,0.0151838559956,3.05382680702,0.000683317885712
5.9,0.0659293973139,0.0631627248722,0.460208421138,,,0.000632527502516,0.0206824157482,,,,,2.30244750959e-17,0.0160551020861,3.05965121724,0.000747677371906
6,0.0242183194141,0.0273833706281,0.460214664111,,,0.000549775302796,0.0288668027416,,,,,2.06026769164e-17,0.0170194045649,3.07215220499,0.000858329709077
6.1,-0.015266219526,-0.00481561159088,0.460221418925,,,0.000471585671392,0.0396490258417,,,,,2.03642760979e-17,0.0179746116326,3.08875243665,0.00103628803568
6.2,-0.0569811241391,-0.0360499399057,0.46022792215,,,0.000404708788607,0.0521763788061,,,,,1.94113249059e-17,0.0188199015931,3.10621049142,0.00127205699069
6.3,-0.105736789949,-0.0694148702098,0.460233412813,,,0.000352254015081,0.0646708581548,,,,,1.91478762325e-17,0.0194956761632,3.12192259687,0.0015124343508
6.4,-0.16498616088,-0.109940322974,0.460237355461,,,0.000314317624365,0.0750251856255,,,,,1.96106381205e-17,0.0199966160558,3.13492416864,0.00168002386398
6.5,-0.231450362594,-0.162141947023,0.460239637065,,,0.000291759792597,0.0815306138469,,,,,2.00935937462e-17,0.0211354393049,3.14580653999,0.00171469003517
6.6,-0.29429129433,-0.222337080862,0.460240639512,,,0.000287152524037,0.083161567353,,,,,2.09544218675e-17,0.0223598546181,3.15574257714,0.00160607702575
6.7,-0.345301421776,-0.278887424626,0.460241098407,,,0.000297996362941,0.0797059430041,,,,,2.20932569369e-17,0.023520716362,3.16550966523,0.001397619988
6.8,-0.383724842502,-0.322948204846,0.460241744755,,,0.000316031157291,0.0721324340177,,,,,2.53283031946e-17,0.0246066162306,3.17522916064,0.00116229950249
6.9,-0.410169841787,-0.351237047939,0.460242919028,,,0.000336125031743,0.062722333693,,,,,2.77407044702e-17,0.0256234994368,3.18489358485,0.000966339991647
7,-0.4230017631,-0.362682876819,0.46024445891,,,0.000355954972815,0.0543530321651,,,,,3.13497596443e-17,0.0265865953887,3.19504006663,0.000845014679495
7.1,-0.420618434709,-0.357951312097,0.46024596648,,,0.000369337136676,0.0493118201672,,,,,3.46062754826e-17,0.027499978435,3.20676068256,0.000800160049783
7.2,-0.4041735488,-0.340024420237,0.460247209757,,,0.000369668952737,0.0483915059198,,,,,3.57760775241e-17,0.0283397504821,3.22092621264,0.000811111918669
7.3,-0.377309472635,-0.313115386092,0.460248301358,,,0.000357749221922,0.050611002833,,,,,3.6113849507e-17,0.0294005595628,3.23738688218,0.00085265573271
7.4,-0.344388161155,-0.281096131148,0.460249546025,,,0.00034052283337,0.0538375683491,,,,,3.57979638382e-17,0.0305472370203,3.25504508096,0.000909898062553
7.5,-0.309864726854,-0.247305009791,0.460251182057,,,0.000323847470596,0.0561746784934,,,,,3.59859465367e-17,0.0314674520572,3.27269907867,0.000976000984523
