time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
0,-0.180127509498,-0.167904830171,0.460158806426,0.929029957648,0.00116230553282,0,1.17394217727e-32,2.33333333333,2.33333333333,0.01,260823,2.88595840292e-16,0.00201997920665,2.96576656381,6.60139876771e-35
0.1,-0.0982118422083,-0.086279467357,0.460158820562,,,3.09953183385e-07,2.47568822743e-10,,,,,1.73981594189e-17,0.0020195441941,2.96595449557,6.91641245255e-12
0.2,-0.0845549204323,-0.0724526751998,0.46015881926,,,7.78560569826e-07,5.30310810577e-09,,,,,1.65665229577e-17,0.0020222412995,2.9661719261,1.48082518191e-10
0.3,-0.0927372513073,-0.0800070303813,0.460158815612,,,1.46118002696e-06,3.69289523935e-08,,,,,1.69418505604e-17,0.00203299255696,2.96640528757,1.02860418547e-09
0.4,-0.119445377897,-0.105524178971,0.460158826426,,,2.43206673217e-06,1.64855578146e-07,,,,,1.69476596309e-17,0.00205836758847,2.96663746123,4.57192846282e-09
0.5,-0.173792567929,-0.157862465612,0.460158870356,,,3.78326222603e-06,5.83098052089e-07,,,,,1.68509464673e-17,0.00210647261207,2.96685501868,1.60683761846e-08
0.6,-0.275187379972,-0.256183831435,0.460158965299,,,5.61560278353e-06,1.79402982783e-06,,,,,1.68162589962e-17,0.00218632993125,2.96704974233,4.90009570317e-08
0.7,-0.443174010461,-0.420387470017,0.460159125172,,,8.01687848828e-06,5.03918194491e-06,,,,,1.67207614779e-17,0.00232127774405,2.96721754096,1.35985904336e-07
0.8,-0.647584224733,-0.621670888438,0.460159356383,,,1.10214640426e-05,1.32753817779e-05,,,,,1.60088307403e-17,0.00250808616798,2.96735737928,3.52513778016e-07
0.9,-0.780103305455,-0.752039963199,0.460159654676,,,1.45479333278e-05,3.33086754561e-05,,,,,1.63671680046e-17,0.00274746956983,2.96747170358,8.65806375557e-07
1,-0.796006467486,-0.765705392093,0.46016000349,,,1.83194539297e-05,8.02742251034e-05,,,,,1.72173342128e-17,0.00303436694094,2.96756909752,2.0287428085e-06
1.1,-0.758566182838,-0.72512403852,0.460160375231,,,2.17897406207e-05,0.000186605374505,,,,,1.65853635228e-17,0.0033592578428,2.96766962276,4.54406355024e-06
1.2,-0.720481495671,-0.682047408726,0.460160736493,,,2.41254716199e-05,0.000418918554528,,,,,1.69961940368e-17,0.00372333052522,2.9678127708,9.71057678315e-06
1.3,-0.696604142566,-0.651016652139,0.460161056728,,,2.43239685264e-05,0.000906729343398,,,,,1.65109177369e-17,0.00406927170045,2.96806567382,1.96864471983e-05
1.4,-0.685640070968,-0.631735053366,0.460161317232,,,2.15433854831e-05,0.00187994507649,,,,,1.65510025377e-17,0.00435900505653,2.9685226977,3.74709964538e-05
1.5,-0.683606950022,-0.622360387306,0.460161514746,,,1.5650738574e-05,0.00366609481192,,,,,1.73768621823e-17,0.00455022768267,2.96927463856,6.58034390869e-05
1.6,-0.688640275593,-0.62368750195,0.460161654369,,,7.84932160856e-06,0.00641477422366,,,,,1.6705452075e-17,0.00460188278121,2.9703151193,0.000103655808003
1.7,-0.70187495248,-0.639560641687,0.460161732608,,,1.66844160176e-06,0.00911377061132,,,,,1.78536960205e-17,0.0044805904382,2.97139523456,0.000140446360284
1.8,-0.725990138321,-0.67439387113,0.460161722021,,,3.31400753596e-06,0.00926173815068,,,,,1.86582025473e-17,0.0041647480326,2.97201900617,0.000155359280035
1.9,-0.758038233023,-0.721899482612,0.460161575919,,,1.18775289919e-05,0.00651843823421,,,,,2.05668048351e-17,0.00364200069217,2.97185594754,0.000133972426655
2,-0.778915808868,-0.75273949211,0.460161264952,,,3.93726532186e-05,0.00345854602985,,,,,2.45263815702e-17,0.00289384441764,2.97117998186,8.83994911463e-05
2.1,-0.778336306957,-0.751861904358,0.460160836119,,,9.36012582869e-05,0.00152195033631,,,,,3.56848314566e-17,0.00218663558335,2.97053517663,4.61519076594e-05
2.2,-0.772755044442,-0.74183965456,0.460160462518,,,0.000191702003719,0.000629015078049,,,,,6.427436036e-17,0.00287371120338,2.97011216306,2.30368189859e-05
2.3,-0.769141690763,-0.73618690975,0.460160446065,,,0.000393250830718,0.00031473124216,,,,,1.56368041441e-16,0.00356549406197,2.96969418437,1.68921844682e-05
2.4,-0.764580424165,-0.732414220082,0.460161150686,,,0.00106297099865,0.000214801482674,,,,,2.65562540828e-16,0.00416872748022,2.96898649666,1.84495776993e-05
2.5,-0.75845820092,-0.727802422366,0.460162870915,,,0.000804028242702,0.000182385746426,,,,,1.98659565865e-16,0.00477425834747,2.96788990475,2.23362546459e-05
2.6,-0.746329106779,-0.718139280595,0.460165669133,,,0.000275517861133,0.000292090004172,,,,,7.59918216488e-17,0.00528484764098,2.96660353076,3.24195910197e-05
2.7,-0.71919437341,-0.695930109623,0.460169239507,,,0.000109177726234,0.000831565055818,,,,,4.33018516396e-17,0.00570863964891,2.96567839167,6.36063072297e-05
2.8,-0.684278224107,-0.666467598426,0.460172875074,,,3.92625832688e-05,0.00244112260411,,,,,3.18490266724e-17,0.00608662712012,2.96630617578,0.00014389582165
