time,shell,k_mean,n_modes,P_J_S,P_J_H,chi_J_shell,vector_mode_energy
1,2,0.7436010309,62,1.09142596488,-0.653491734534,-0.598750401367,81.0616732783
1,3,1.04471971847,98,1.52782900711,-1.00432017385,-0.657351162456,112.31264141
1,4,1.35352659922,210,3.14215050979,-2.13593734218,-0.679769264879,5915728.21067
1,5,1.69919437664,350,4.12602155882,-3.30809088836,-0.801762870406,662841.74584
1,6,2.04064273742,450,3.07010536185,-2.61959570026,-0.853259218011,17386.8658868
1,7,2.35724775845,602,3.86113254277,-3.49957685046,-0.906360196574,143.267099672
1,8,2.65706145319,612,2.40999914058,-2.25291897396,-0.934821484386,66.924705874
1,9,2.99963307136,584,0.925253777646,-0.88703929989,-0.958698382347,28.2844184109
1,10,3.35416024321,284,0.205443759183,-0.20023724381,-0.97465722301,3.23372062681
1,11,3.64084608427,72,0.00932225535514,-0.00887844147292,-0.952392005442,0.475359736411
1,12,3.90432219678,32,0.00336526610753,-0.00326844770718,-0.971230090799,0.0211522822518
1.5,1,0.425380791638,18,4.58793873935,-0.163964422131,-0.0357381454824,787.933378864
1.5,2,0.7436010309,62,12.5629478023,-6.93845209728,-0.552294907731,4714.33993813
1.5,3,1.04471971847,98,18.0652315472,-10.9447779298,-0.605847641709,6535.72704287
1.5,4,1.35352659922,210,39.6438260358,-22.8816763567,-0.577181333004,10719660.946
1.5,5,1.69919437664,350,60.3794391004,-33.942910399,-0.562160081392,1192295.62199
1.5,6,2.04064273742,450,57.5142197729,-33.5124226384,-0.582680644382,37972.2897994
1.5,7,2.35724775845,602,83.2886021055,-63.4135298374,-0.761371042788,7187.20454414
1.5,8,2.65706145319,612,53.747679842,-44.1355675586,-0.82116228437,3390.96113493
1.5,9,2.99963307136,584,29.8733032114,-26.9849861554,-0.903314439799,1338.81968752
1.5,10,3.35416024321,284,9.4064644596,-8.9023063882,-0.946403021714,140.181722542
1.5,11,3.64084608427,72,1.25660782869,-1.19765204386,-0.953083385689,20.6703457985
1.5,12,3.90432219678,32,0.47566134923,-0.464524993385,-0.976587637689,0.883159989034
2,1,0.425380791638,18,16.036698494,-0.678126271318,-0.0422859026484,1319.34990037
2,2,0.7436010309,62,36.8647520542,-21.1970908101,-0.574996158362,7870.10335983
2,3,1.04471971847,98,51.5275482927,-33.008796578,-0.640604835116,11555.0027953
2,4,1.35352659922,210,101.068578098,-68.9589010868,-0.682298122569,13291629.7105
2,5,1.69919437664,350,149.458059926,-119.331454961,-0.798427699515,1532584.93013
