Np,Nmu,K,P_J_S,P_J_H,chiJ,abs_delta_vs_400
280,210,0.75,3.1219714004181263e-10,-7.06992127031423e-11,-0.2264569518275329,0.00033726078394760717
280,210,1.5,3.33729707624591e-10,-7.079194627773769e-11,-0.21212359781098897,0.00043248668395812206
280,210,2.25,2.5231691756417e-10,-4.505086191270489e-11,-0.178548717016755,0.0003977655567644067
320,240,0.75,3.12832143671343e-10,-7.101890441473313e-11,-0.22701920455253657,0.0008995135089512885
320,240,1.5,3.340519333398142e-10,-7.105701083477571e-11,-0.21271246696391063,0.0010213558368797893
320,240,2.25,2.5246904932149545e-10,-4.522792514009871e-11,-0.1791424543390474,0.00019597176552799134
400,300,0.75,3.1181794323131896e-10,-7.050817698531206e-11,-0.22611969104358529,0.0
400,300,1.5,3.3352704526189676e-10,-7.060471080240644e-11,-0.21169111112703085,0.0
400,300,2.25,2.5243727679900355e-10,-4.5172762753619585e-11,-0.17894648257351942,0.0
