N,dt,first_main_crossing,second_main_crossing,max_positive_chi,time_of_max,endpoint_chi,common_k_first,common_k_second,common_k_peak,endpoint_chi_common,n_zero_crossings,max_lorenz_shadow,max_abs_energy_drift,max_longitudinal_fraction,spherical_safe_kmax,kinit_effective
24,0.02,4.264150842452775,6.068058271125075,0.455835594118,5.3,-0.373726381959,4.2857376473169335,6.1313394745392165,0.412012542105,-0.314682619721,2,0.00435557821891,0.00020408848573261196,0.0791014959787,2.33333333333,2.33333333333
32,0.02,4.189440038598154,6.095267802568605,0.512094707973,5.4,-0.352502790331,4.253545391055032,6.31851015763947,0.43575568906,-0.196668660669,4,0.00479978899649,0.00022640587672140278,0.0873106766559,3.33333333333,2.4
40,0.02,4.143407714531927,6.088398682953385,0.525358166675,5.4,-0.37205628321,4.250817715741537,6.335074355635666,0.446623965296,-0.184352533983,4,0.00481318819327,0.00023340517773462466,0.0892498338969,4.33333333333,2.4
