N,dt,t_end,kinit_effective,first_main_crossing,second_main_crossing,max_positive_chi,common_k_first,common_k_second,common_k_peak,max_lorenz_shadow
25,0.02,6.5,2.4,4.22965648252894,6.055261098639933,0.473812595224,4.264057107558075,6.157245097901636,0.409147094079,0.00461072403126
32,0.02,7.5,2.4,4.189440038598154,6.095267802568605,0.512094707973,4.253545391055032,6.31851015763947,0.43575568906,0.00479978899649
40,0.02,7.5,2.4,4.143407714531927,6.088398682953385,0.525358166675,4.250817715741537,6.335074355635666,0.446623965296,0.00481318819327
